data_as_of,development,tds,consolidated_tds,hud_,program,method,type,number_of_section_8_transition_apartments,number_of_current_apartments,total_number_of_apartments,number_of_rental_rooms,population_public_housing,total_population,percent_fixed_income_households,number_of_residential_bldgs,number_of_stories,total_area_sq_ft,bldg_coverage_sq_ft,density,development_cost,avg_monthly_gross_rent,borough,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management,rad_transferred_date
1/1/2025,MITCHEL,145,145,NY005050,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,726","1,732","7,526.0","3,462","3,462",0.4114,10.0,17–19–20,"679,300.4","97,114",222.0,"$33,012,851",$609,BRONX,1966-02-28,,PARTIALLY (1 BUILDING),,,
1/1/2025,MONROE,088,088,NY005036,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,097","1,102","5,287.5","2,400","2,400",0.4439,12.0,8–14–15,"814,916.2","118,402",128.0,"$16,449,659",$636,BRONX,1961-11-02,,,,,
1/1/2025,MOORE,129,093,NY005080,FEDERAL,CONVENTIONAL,NEW CONST,0.0,462,463,"2,160.0",967,967,0.3934,2.0,20,"115,842.1","21,826",364.0,"$7,256,661",$605,BRONX,1964-03-31,,,,,
1/1/2025,MORRIS I,102,102,NY005037,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,083","1,085","5,238.5","2,553","2,553",0.3896,10.0,16–20,"416,088.5","66,594",267.0,"$20,735,295",$588,BRONX,1965-08-31,,,,,
1/1/2025,MORRIS II,502,102,NY005079,FEDERAL,CONVENTIONAL,NEW CONST,0.0,798,802,"3,748.0","1,783","1,783",0.4194,7.0,16–20,"357,676.7","51,875",217.0,"$15,391,181",$582,BRONX,1965-08-31,,,,,
1/1/2025,MORRIS PARK SENIOR CITIZENS HOME,277,241,NY005200,FEDERAL,CONVENTIONAL,REHAB (ELD),0.0,97,97,296.5,87,87,0.9028,1.0,9,"10,215.5","6,491",371.0,"$1,989,852",$349,MANHATTAN,1977-04-30,,EXCLUSIVELY,YES,,
1/1/2025,MORRISANIA,130,141,NY005048,FEDERAL,CONVENTIONAL,NEW CONST,0.0,205,206,958.5,485,485,0.3831,2.0,16,"60,128.9","13,024",351.0,"$3,742,711",$584,BRONX,1963-05-31,,,,,
1/1/2025,MORRISANIA AIR RIGHTS,267,267,NY005190,FEDERAL,TURNKEY,NEW CONST,0.0,840,843,"3,780.0","1,530","1,530",0.5624,3.0,19–23–29,"257,853.4","64,435",258.0,"$40,272,504",$538,BRONX,1981-01-01,,PARTIALLY (1 STAIRHALL),,,
1/1/2025,MOTT HAVEN,121,121,NY005044,FEDERAL,CONVENTIONAL,NEW CONST,0.0,991,993,"4,630.5","2,196","2,196",0.3577,8.0,20–22,"440,952.2","78,477",217.0,"$20,670,000",$640,BRONX,1965-03-31,,,,,
1/1/2025,MURPHY,133,133,NY005381,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,106.0,281,281,"1,294.5",,710,,2.0,20,"115,011.3","20,188",269.0,"$5,539,000",$438,BRONX,1964-03-31,,,,,2018-12-27
1/1/2025,NEW LANE AREA,314,035,NY005242,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,276,277,996.0,279,279,0.9447,1.0,10,"110,236.9","29,107",110.0,"$18,511,313",$393,STATEN ISLAND,1984-07-12,,EXCLUSIVELY,YES,,
1/1/2025,NOSTRAND,043,036,NY005268C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,146","1,148","4,967.0","2,005","2,005",0.4597,16.0,6,"1,086,051.1","177,223",80.0,"$13,817,794",$626,BROOKLYN,1950-12-14,1980-07-01,,,,
1/1/2025,OCEAN BAY APARTMENTS (BAYSIDE),098,098,NY005244D,FEDERAL,CONVENTIONAL,NEW CONST,,"1,393","1,395","6,670.5",,"3,729",,24.0,7-9,"1,406,825.8","215,090",115.0,"$22,956,000",$503,QUEENS,1961-09-25,1979-08-01,,,,2016-12-31
1/1/2025,OCEAN BAY APARTMENTS (OCEANSIDE),051,165,NY005244F,FEDERAL,CONVENTIONAL,NEW CONST,0.0,417,418,"1,766.5",730,730,0.4,7.0,6,"465,536.4","66,101",68.0,"$5,137,275",$710,QUEENS,1951-02-28,1979-08-01,,,,
1/1/2025,OCEAN HILL APARTMENTS,162,162,NY005072,FEDERAL,CONVENTIONAL,NEW CONST,0.0,238,238,"1,077.0",543,543,0.3529,3.0,14,"116,783.3","16,412",203.0,"$4,875,929",$792,BROOKLYN,1968-03-31,,,,,
1/1/2025,OCEAN HILL-BROWNSVILLE,313,351,NY005257,FEDERAL,TURNKEY,REHAB,,119,125,517.5,281,281,0.0016,5.0,4,"41,339.1","78,188",296.0,"$8,068,686",$619,BROOKLYN,1986-11-10,,,YES,,2023-11-28
1/1/2025,O'DWYER GARDENS,172,172,NY005267D,FEDERAL,CONVENTIONAL,NEW CONST,0.0,564,573,"2,183.0",858,858,0.5784,6.0,15–16,"289,033.2","34,501",129.0,"$15,000,000",$624,BROOKLYN,1969-12-31,1980-07-01,,,,
1/1/2025,PALMETTO GARDENS,195,247,NY005196,FEDERAL,TURNKEY,NEW CONST (ELD),,115,115,340.5,,117,,1.0,6,"28,687.5","12,739",178.0,"$4,584,000",$313,BROOKLYN,1977-03-31,,EXCLUSIVELY,,,2019-07-18
1/1/2025,"PARK AVENUE-EAST 122ND, 123RD STREETS",204,241,NY005127,FEDERAL,TURNKEY,NEW CONST,,89,90,415.5,209,209,0.0036,2.0,6,"38,327.4","14,614",238.0,"$2,101,938",$554,MANHATTAN,1970-03-31,,,,,2020-11-30
1/1/2025,PARK ROCK REHAB,351,351,NY005285,FEDERAL,TURNKEY,REHAB,,126,134,548.0,282,282,0.0023,9.0,4,"55,732.8","33,105",220.0,"$10,500,000",$674,BROOKLYN,1986-09-01,,,YES,,2023-11-28
1/1/2025,PARKSIDE,047,047,NY005267B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,879,879,"3,712.5","1,601","1,601",0.4618,14.0,6–7–14–15,"458,093.8","96,415",152.0,"$9,676,316",$584,BRONX,1951-06-12,1980-07-01,,,,
1/1/2025,PATTERSON,024,024,NY005216A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,788","1,791","8,505.0","3,684","3,684",0.3986,15.0,6–13,"695,536.4","167,841",231.0,"$20,731,000",$606,BRONX,1950-12-31,1978-02-01,,,,
1/1/2025,PELHAM PARKWAY,039,039,NY005271A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,263","1,266","5,438.5","2,297","2,297",0.4565,23.0,6,"971,382.7","184,875",103.0,"$15,295,753",$643,BRONX,1950-06-30,1980-10-01,,,,
1/1/2025,PENNSYLVANIA AVENUE-WORTMAN AVENUE,194,194,NY005091,FEDERAL,CONVENTIONAL,NEW CONST,,336,336,"1,339.5",627,627,0.0043,3.0,8-16,"235,329.0","40,998",116.0,"$11,936,021",$463,BROOKLYN,1972-09-30,,,,,2021-12-28
1/1/2025,PINK,089,089,NY005035,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,495","1,500","7,074.5","3,168","3,168",0.4116,22.0,8,"1,363,766.8","193,511",101.0,"$20,134,047",$604,BROOKLYN,1959-09-30,,,,,
1/1/2025,POLO GROUNDS TOWERS,149,149,NY005062,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,613","1,614","7,678.5","3,467","3,467",0.4224,4.0,30,"657,336.7","83,689",230.0,"$32,292,784",$613,MANHATTAN,1968-06-30,,,,,
1/1/2025,POMONOK,053,053,NY005271C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"2,068","2,071","8,835.0","3,887","3,887",0.4693,35.0,3–7–8,"2,084,612.3","369,627",81.0,"$21,645,342",$652,QUEENS,1952-06-30,1980-10-01,,,,
1/1/2025,PROSPECT PLAZA I,591,,,MIXED FINANCE/NON-NYCHA DEVELOPMENT,,NEW CONST,,38,110,,,,,2.0,4—6,,,,,,BROOKLYN,,,,,YES,
1/1/2025,PROSPECT PLAZA II,592,,,MIXED FINANCE/NON-NYCHA DEVELOPMENT,,NEW CONST,,42,149,,,,,2.0,4—6,,,,,,BROOKLYN,,,,,YES,
1/1/2025,PROSPECT PLAZA PHASE III,,,,MIXED FINANCE/NON-NYCHA DEVELOPMENT,,NEW CONST,,,,,,,,,,,,,,,BROOKLYN,,,,,YES,
1/1/2025,PSS GRANDPARENT FAMILY APARTMENTS,560,560,NY005387,MIXED FINANCE,TURNKEY,NEW CONST,,50,51,235.0,,,,1.0,6,,,,"$12,020,098",,BRONX,2005-05-24,,,,YES,
1/1/2025,PUBLIC SCHOOL 139 (CONVERSION),340,111,NY005260,FEDERAL,TURNKEY,REHAB (ELD),,125,125,423.5,137,137,0.0089,1.0,5,"66,452.0","26,325",90.0,"$7,898,759",$359,MANHATTAN,1986-10-08,,EXCLUSIVELY,YES,,2020-11-30
1/1/2025,QUEENSBRIDGE NORTH,505,505,NY005002B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,536","1,543","6,314.0","2,797","2,797",0.4632,13.0,6,"699,004.0","191,356",174.0,"$6,466,805",$621,QUEENS,1940-03-15,,,,,
1/1/2025,QUEENSBRIDGE SOUTH,005,005,NY005002A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,600","1,604","6,615.0","2,937","2,937",0.4515,13.0,6,"1,489,277.3","198,609",86.0,"$7,054,601",$611,QUEENS,1940-03-15,,,,,
1/1/2025,RALPH AVENUE REHAB,352,167,NY005290,FEDERAL,TURNKEY,REHAB,,111,118,501.5,249,249,0.0025,5.0,4,"71,910.9","27,982",151.0,"$6,714,551",$675,BROOKLYN,1986-12-23,,,YES,,2023-11-28
1/1/2025,RANDALL AVENUE-BALCOM AVENUE,245,063,NY005179,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,251,252,823.5,248,248,0.9144,3.0,6,"236,737.5","48,175",46.0,"$9,186,414",$387,BRONX,1978-10-31,,EXCLUSIVELY,,,
1/1/2025,RANDOLPH NORTH,,,,MIXED FINANCE/NON-NYCHA DEVELOPMENT,CONVENTIONAL,GUT REHAB,,,,,,,,,,,,,,,MANHATTAN,,,,,YES,
1/1/2025,RANDOLPH SOUTH,561,,,MIXED FINANCE/NON-NYCHA DEVELOPMENT,CONVENTIONAL,GUT REHAB,,147,168,,,,,2.0,5,,,,,,MANHATTAN,,,,,YES,
1/1/2025,RANGEL,037,037,NY005114E,FEDERAL,CONVENTIONAL,NEW CONST,0.0,983,984,"4,519.5","1,920","1,920",0.4231,8.0,14,"471,966.9","71,671",177.0,"$10,613,000",$631,MANHATTAN,1951-10-08,1968-08-29,,,,
1/1/2025,RAVENSWOOD,048,048,NY005184,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"2,160","2,166","9,116.0","3,926","3,926",0.4428,31.0,6–7,"1,520,494.6","346,053",112.0,"$21,403,996",$704,QUEENS,1951-07-19,1971-06-29,,,,
1/1/2025,RED HOOK EAST,004,004,NY005001,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,401","1,407","5,876.5","2,377","2,377",0.4442,15.0,2–6,"870,219.9","192,198",119.0,,$590,BROOKLYN,1939-11-20,,,,,
1/1/2025,RED HOOK I,"004, 079","004, 079",NY005001,FEDERAL,CONVENTIONAL,NEW CONST,,"2,421","2,541","10,579.0","4,343","4,343",0.0044,26.0,2–6,"1,452,438.0","326,157",130.0,"$12,102,930",$586,BROOKLYN,1939-11-20,,,,,
1/1/2025,RED HOOK II,079*,079,NY005029,FEDERAL,CONVENTIONAL,NEW CONST,,343,346,"1,618.0",732,732,0.0037,3.0,3–14,"245,292.0","35,301",131.0,"$4,517,169",$676,BROOKLYN,1955-05-27,,,,,
1/1/2025,RED HOOK WEST,079,079,"NY005001 - BLDGS 15-25, NY005029 - BLDGS 1-4",FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,471","1,480","6,320.5","2,698","2,698",0.423,14.0,3–6–14,"819,204.0","169,260",143.0,,$604,BROOKLYN,1955-05-31,,,,,
1/1/2025,REDFERN,055,055,NY005216D,FEDERAL,CONVENTIONAL,NEW CONST,0.0,599,604,"2,909.5","1,426","1,426",0.3765,9.0,6–7,"730,279.4","95,461",85.0,"$9,334,000",$681,QUEENS,1959-08-28,1978-02-01,,,,
1/1/2025,REHAB PROGRAM (COLLEGE POINT),143,186,NY005076E,FEDERAL,CONVENTIONAL,REHAB (ELD),0.0,13,13,32.5,12,12,0.9167,1.0,1,"15,478.9","9,320",34.0,"$5,909,934",$276,QUEENS,1964-01-31,,EXCLUSIVELY,,,
1/1/2025,REHAB PROGRAM (DOUGLASS REHABS),515,359,"NY005076A - BLDG 3-4, NY005076B - BLDGS 2, NY005076C - BLDG 1",FEDERAL,CONVENTIONAL,REHAB,0.0,112,112,413.0,154,154,0.49,4.0,3–6–7,"26,188.8","16,326",256.0,,$653,MANHATTAN,1964-01-31,,,,YES,
1/1/2025,REHAB PROGRAM (TAFT REHABS),516,359,"NY005076G - BLDG 1, NY005076I - BLDG 2, 3,  NY005076J - BLDG 4",FEDERAL,CONVENTIONAL,REHAB,0.0,154,156,595.0,253,253,0.3857,4.0,7,"27,394.4","22,914",402.0,,$572,MANHATTAN,1964-01-31,,,,YES,
1/1/2025,REHAB PROGRAM (WISE REHAB),517,155,NY005076D,FEDERAL,CONVENTIONAL,REHAB,0.0,40,40,159.0,63,63,0.4474,1.0,5,"10,196.6","7,367",269.0,,$776,MANHATTAN,1964-01-31,,,,,
1/1/2025,REID APARTMENTS,167,167,NY005089,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,199,230,602.5,207,207,0.0091,1.0,20,"68,329.6","13,285",132.0,"$3,910,160",$349,BROOKLYN,1969-11-30,,EXCLUSIVELY,,,2023-11-28
1/1/2025,RICHMOND TERRACE,117,117,NY005039,FEDERAL,CONVENTIONAL,NEW CONST,0.0,488,489,"2,308.0",990,990,0.3786,6.0,8,"444,970.0","57,285",97.0,"$9,551,430",$608,STATEN ISLAND,1964-04-30,,,,,
1/1/2025,RIIS,018,018,NY005008,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,191","1,191","5,666.5","2,408","2,408",0.4645,13.0,6–13–14,"520,294.5","103,446",202.0,"$13,510,289",$666,MANHATTAN,1949-01-17,,,,,
1/1/2025,RIIS II,019,018,NY005181D,FEDERAL,CONVENTIONAL,NEW CONST,0.0,575,578,"2,710.5","1,143","1,143",0.4577,6.0,6–13–14,"258,372.5","43,916",193.0,"$6,339,520",$667,MANHATTAN,1949-01-31,1972-06-29,,,,
1/1/2025,ROBBINS PLAZA,218,139,NY005151,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,150,150,470.0,164,164,0.9161,1.0,20,"13,536.8","6,773",528.0,"$4,855,905",$409,MANHATTAN,1975-02-28,,EXCLUSIVELY,,,
1/1/2025,ROBINSON,241,241,NY005173,FEDERAL,TURNKEY,NEW CONST,0.0,188,189,834.0,355,355,0.4,1.0,8,"65,196.7","22,776",237.0,"$5,990,000",$673,MANHATTAN,1973-05-31,,,,,
1/1/2025,ROOSEVELT I,135,135,NY005054,FEDERAL,CONVENTIONAL,NEW CONST,0.0,761,763,"3,576.5","1,632","1,632",0.4822,6.0,14–15–18,"345,698.5","52,168",206.0,"$14,017,427",$598,BROOKLYN,1964-09-30,,PARTIALLY (1 BUILDING),,,
1/1/2025,ROOSEVELT II,177,135,NY005083,FEDERAL,CONVENTIONAL,NEW CONST,0.0,339,342,"1,484.5",646,646,0.4611,3.0,14–15,"148,881.1","24,067",189.0,"$6,450,218",$613,BROOKLYN,1966-12-31,,,,,
1/1/2025,RUTGERS,099,099,NY005382,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,102.0,721,721,"3,357.5","1,271","1,471",0.5285,5.0,20,"226,932.5","39,355",282.0,"$14,090,000",$626,MANHATTAN,1965-03-31,,,,,
1/1/2025,RUTLAND TOWERS,282,167,NY005211,FEDERAL,CONVENTIONAL,REHAB,,60,61,218.0,98,98,0.0057,1.0,6,"22,643.9","13,470",189.0,"$1,594,181",$604,BROOKLYN,1977-05-17,,,,,2023-11-28
1/1/2025,SACK WERN,280,280,NY005205,FEDERAL,CONVENTIONAL,REHAB,0.0,379,413,"1,755.5",783,783,0.3905,7.0,6,"216,987.0","63,056",157.0,"$8,699,894",$688,BRONX,1977-05-12,,,,,2024-06-26
1/1/2025,SAINT MARY'S PARK,093,093,NY005384,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,209.0,997,"1,007","4,488.5","1,478","1,881",0.3957,6.0,21,"552,064.7","57,006",148.0,"$16,351,823",$615,BRONX,1959-04-30,,,,,
1/1/2025,SAINT NICHOLAS,038,038,NY005010,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,524","1,526","7,106.0","2,965","2,965",0.4395,13.0,14,"629,649.6","105,458",205.0,"$20,560,063",$645,MANHATTAN,1954-09-30,,,,,
1/1/2025,SAMUEL (CITY),377,377,NY005375,MIXED FINANCE/LLC1,CONVENTIONAL,REHAB,105.0,598,664,"2,552.0","1,044","1,234",0.3255,40.0,5–6–7,"210,386.9","116,528",255.0,$0,$743,MANHATTAN,1994-08-31,,,YES,,2024-09-26
1/1/2025,SAMUEL (MHOP) I,389,359,NY005335,MHOP,CONVENTIONAL,REHAB,,31,53,138.5,49,49,0.0036,5.0,5,"14,126.6","11,274",151.0,"$4,630,200",$795,MANHATTAN,1994-01-31,,,YES,YES,2020-11-30
1/1/2025,SAMUEL (MHOP) II,398,359,NY005345,MHOP,CONVENTIONAL,REHAB,,4,10,20.0,12,12,0.0025,1.0,5,"3,188.6","2,326",164.0,"$967,700","$1,061",MANHATTAN,1993-07-31,,,YES,YES,2020-11-30
1/1/2025,SAMUEL (MHOP) III,399,359,NY005359,MHOP,CONVENTIONAL,REHAB,,2,10,9.0,3,3,0.0,1.0,5,"5,437.2","1,599",24.0,"$887,005",$823,MANHATTAN,1995-06-30,,,YES,YES,2020-11-30
1/1/2025,SARATOGA VILLAGE,158,162,NY005067,FEDERAL,CONVENTIONAL,NEW CONST,0.0,125,125,562.5,240,240,0.3772,1.0,16,"57,070.0","6,911",183.0,"$2,334,676",$753,BROOKLYN,1966-12-31,,,,,
1/1/2025,SEDGWICK,045,045,NY005183B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,783,786,"3,316.5","1,445","1,445",0.461,7.0,14–15,"316,648.1","59,598",199.0,"$8,397,841",$585,BRONX,1951-03-23,1972-06-29,,,,
1/1/2025,SEWARD PARK EXTENSION,192,100,NY005100,FEDERAL,CONVENTIONAL,NEW CONST,0.0,360,360,"1,591.0",686,686,0.5235,2.0,23,"96,046.4","23,922",311.0,"$11,871,465",$645,MANHATTAN,1973-10-31,,,,,
1/1/2025,SHEEPSHEAD BAY,036,036,NY005114B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,052","1,056","4,903.0","2,083","2,083",0.4287,18.0,6,"1,091,713.4","159,727",83.0,"$12,596,000",$653,BROOKLYN,1950-08-08,1968-08-29,,,,
1/1/2025,SHELTON HOUSE,279,091,NY005203,FEDERAL,CONVENTIONAL,REHAB (ELD),0.0,152,155,472.0,156,156,0.9433,1.0,12,"22,357.3","14,991",304.0,"$3,615,000",$374,QUEENS,1978-10-31,,EXCLUSIVELY,YES,,
1/1/2025,SMITH,027,027,NY005220B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,930","1,935","8,970.0","3,708","3,708",0.5533,12.0,17,"804,198.1","126,462",201.0,"$29,083,000",$631,MANHATTAN,1953-04-27,1978-07-01,,,,
1/1/2025,SOTOMAYOR HOUSES,067,067,NY005022,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,492","1,497","6,951.0","2,913","2,913",0.4342,28.0,7,"1,339,503.7","190,435",95.0,"$17,963,549",$601,BRONX,1955-02-28,,,,,
1/1/2025,SOUNDVIEW,071,071,NY005220H,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,254","1,259","5,847.0","2,642","2,642",0.4304,13.0,7,"972,689.5","164,048",118.0,"$13,445,000",$559,BRONX,1954-10-29,1978-07-01,,,,
1/1/2025,SOUTH BEACH,035,035,NY005114C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,421,422,"1,938.5",755,755,0.4118,8.0,6,"639,135.3","68,084",51.0,"$5,377,000",$635,STATEN ISLAND,1950-03-20,1968-08-29,,,,
1/1/2025,SOUTH BRONX AREA (SITE 402),305,342,NY005224,FEDERAL,TURNKEY,NEW CONST,,111,114,586.5,357,357,0.0018,4.0,3,"150,897.6","41,764",103.0,"$8,902,455",$688,BRONX,1988-05-01,,,YES,,2023-09-28
1/1/2025,SOUTH JAMAICA I,008,008,NY005004,FEDERAL,CONVENTIONAL,NEW CONST,0.0,448,448,"1,797.0",798,798,0.3564,11.0,3–4,"397,830.6","82,310",87.0,"$2,117,392",$609,QUEENS,1940-08-01,,,,,
1/1/2025,SOUTH JAMAICA II,066,008,NY005018,FEDERAL,CONVENTIONAL,NEW CONST,0.0,595,600,"2,797.5","1,295","1,295",0.3717,16.0,3–7,"589,701.8","116,506",96.0,"$8,541,145",$676,QUEENS,1954-10-25,,,,,
1/1/2025,STANTON STREET,559,359,NY005326,FEDERAL,TURNKEY,NEW CONST,0.0,13,13,66.5,34,34,0.2308,1.0,6,"5,438.8","3,600",272.0,"$4,561,538",$735,MANHATTAN,2003-12-01,,,YES,YES,
1/1/2025,STAPLETON,114,114,NY005383,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,133.0,693,693,"3,358.5","1,561","1,829",0.3344,6.0,1—8,"610,197.6","76,976",131.0,"$12,271,000",$631,STATEN ISLAND,1962-05-31,,,,,
1/1/2025,STEBBINS AVENUE-HEWITT PLACE,353,342,NY005280,FEDERAL,TURNKEY,NEW CONST,,118,120,531.0,247,247,0.0035,2.0,3,"123,822.3","42,267",87.0,"$8,851,338",$585,BRONX,1987-04-17,,,YES,,2023-09-28
1/1/2025,STERLING PLACE REHABS (SAINT JOHNS-STERLING),366,351,NY005250,FEDERAL,TURNKEY,REHAB,,82,83,435.0,247,247,0.0018,5.0,4,"49,671.3","28,039",217.0,"$9,091,865",$669,BROOKLYN,1991-05-11,,,YES,,2023-11-28
1/1/2025,STERLING PLACE REHABS (STERLING-BUFFALO),368,351,NY005305,FEDERAL,TURNKEY,REHAB,,122,125,580.0,310,310,0.003,7.0,4,"50,273.2","36,119",269.0,"$12,235,716",$647,BROOKLYN,1991-05-11,,,YES,,2023-11-28
1/1/2025,STRAUS,153,153,NY005063,FEDERAL,CONVENTIONAL,NEW CONST,0.0,267,267,"1,162.5",503,503,0.5155,2.0,19–20,"47,065.9","12,476",466.0,"$5,442,401",$614,MANHATTAN,1965-01-31,,,,,
1/1/2025,STUYVESANT GARDENS I,221,221,NY005133,FEDERAL,TURNKEY,NEW CONST,0.0,328,331,"1,610.0",721,721,0.3344,5.0,4,"206,356.6","92,431",152.0,"$10,070,462",$718,BROOKLYN,1972-08-31,,,,,
1/1/2025,STUYVESANT GARDENS II,333,221,NY005269,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,150,150,525.0,140,140,0.8943,1.0,7,"71,067.1","16,458",86.0,"$9,991,893",$453,BROOKLYN,1986-02-28,,EXCLUSIVELY,YES,,
1/1/2025,SUMNER,073,073,NY005220I,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,094","1,099","4,989.0","2,013","2,013",0.4894,13.0,7–12,"890,633.1","131,812",98.0,"$18,007,000",$608,BROOKLYN,1958-05-14,1978-07-01,,,,
1/1/2025,SURFSIDE GARDENS,170,170,NY005087,FEDERAL,CONVENTIONAL,NEW CONST,0.0,590,600,"2,533.0","1,031","1,031",0.6393,5.0,14–15,"330,691.2","36,810",136.0,"$13,577,964",$514,BROOKLYN,1969-06-30,,PARTIALLY (2 BUILDINGS),,,
1/1/2025,SUTTER AVENUE-UNION STREET,369,167,NY005311,FEDERAL,TURNKEY,REHAB,,99,100,461.5,234,234,0.0027,3.0,4-6,"38,536.4","21,424",265.0,"$9,370,007",$728,BROOKLYN,1995-08-31,,,YES,,2023-11-28
1/1/2025,TAFT,097,097,NY005064,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,464","1,470","6,602.0","2,609","2,609",0.4422,9.0,19,"538,203.9","105,527",211.0,"$28,867,029",$660,MANHATTAN,1962-12-31,,,,,
1/1/2025,TAPSCOTT STREET REHAB,354,167,NY005278,FEDERAL,TURNKEY,REHAB,,150,155,667.0,320,320,0.0023,8.0,4,"66,584.8","37,312",209.0,"$10,106,270",$641,BROOKLYN,1986-01-24,,,YES,,2023-11-28
1/1/2025,TAYLOR STREET-WYTHE AVENUE,234,234,NY005141,FEDERAL,TURNKEY,NEW CONST,0.0,525,525,"2,464.5","1,186","1,186",0.4847,5.0,8–11–12–13,"185,921.0","57,205",278.0,"$20,178,024",$587,BROOKLYN,1974-06-30,,,,,
1/1/2025,TELLER AVENUE-EAST 166TH STREET,223,308,NY005163,FEDERAL,TURNKEY,NEW CONST,0.0,89,90,348.5,159,159,0.4938,1.0,6,"27,912.0","12,354",248.0,"$2,296,895",$514,BRONX,1971-09-30,,,,,
1/1/2025,THOMAS APARTMENTS,268,155,NY005192,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,87,87,304.5,94,94,0.9762,1.0,11,"10,327.1","6,641",396.0,"$11,188,636",$466,MANHATTAN,1994-08-31,,EXCLUSIVELY,YES,,
1/1/2025,THROGGS NECK,063,063,NY005015,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,178","1,185","5,404.0","2,396","2,396",0.4155,29.0,3–7,"1,438,598.9","228,989",73.0,"$15,541,569",$592,BRONX,1953-11-27,,,,,
1/1/2025,THROGGS NECK ADDITION,193,063,NY005098,FEDERAL,CONVENTIONAL,NEW CONST,0.0,287,287,"1,330.5",635,635,0.4416,4.0,8–11,"354,058.4","39,315",78.0,"$7,405,898",$613,BRONX,1971-09-30,,,,,
1/1/2025,TILDEN,096,096,NY005034,FEDERAL,CONVENTIONAL,NEW CONST,0.0,997,998,"4,745.5","2,263","2,263",0.4082,8.0,16,"466,445.9","66,416",211.0,"$14,827,430",$600,BROOKLYN,1961-06-30,,,,,
1/1/2025,TODT HILL,042,042,NY005268A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,502,502,"2,174.0",873,873,0.4587,7.0,6,"537,843.2","79,116",71.0,"$6,509,155",$689,STATEN ISLAND,1950-06-01,1980-07-01,,,,
1/1/2025,TOMPKINS,131,131,NY005046,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,043","1,046","5,211.5","2,486","2,486",0.4446,8.0,8–16,"514,243.2","94,386",211.0,"$18,445,969",$651,BROOKLYN,1964-07-31,,,,,
1/1/2025,TWIN PARKS EAST (SITE 9),287,180,NY005227,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,219,219,689.5,204,204,0.8836,1.0,14,"74,074.7","11,388",120.0,"$11,406,932",$323,BRONX,1982-04-30,,EXCLUSIVELY,YES,,2025-06-24
1/1/2025,TWIN PARKS WEST (SITES 1 & 2),227,227,NY005178,FEDERAL,CONVENTIONAL,NEW CONST,,311,312,"1,504.5",,876,,1.0,16,"187,170.4","33,186",204.0,"$14,286,716",$521,BRONX,1974-09-30,,,,,2018-10-31
1/1/2025,TWO BRIDGES URA (SITE 7),266,076,NY005194,FEDERAL,TURNKEY,NEW CONST,0.0,250,250,"1,249.0",535,535,0.4833,1.0,26,"33,793.0","13,314",690.0,"$10,508,730",$769,MANHATTAN,1975-04-30,,,,,
